Primary_Genre,All_Tags,Price_USD,Review_Score_Pct,Total_Reviews,Estimated_Owners
Simulation,Simulation;Flight;Realistic;VR;Multiplayer;Hobby Sim;Singleplayer;Atmospheric;Sandbox;Exploration,69.99,74,18004,540120
Action,Great Soundtrack;Story Rich;Action;RPG;JRPG;Adventure;Singleplayer;Hack and Slash;Post-apocalyptic;Atmospheric,23.99,88,20654,619620
Action,Open World Survival Craft;Survival;Adventure;Open World;RPG;Multiplayer;PvP;Base Building;Exploration;PvE,29.99,61,63137,1894110
Casual,Free to Play;Multiplayer;Casual;Artificial Intelligence;Life Sim;Cute;Relaxing;City Builder;Character Customization;Immersive Sim,0,62,0,0
Action,Survival;Open World;Multiplayer;Co-op;Survival Horror;Base Building;Horror;Crafting;First-Person;Building,29.99,92,263617,7908510
Action,Choices Matter;Story Rich;Sexual Content;Nudity;Superhero;Singleplayer;Romance;Comedy;Choose Your Own Adventure;Episodic,29.99,95,157216,4716480
Action,Open World Survival Craft;Survival;Online Co-Op;Open World;Multiplayer;Building;Crafting;Base Building;Exploration;Co-op,9.99,86,447761,13432830
Action,Tower Defense;Strategy;City Builder;Minimalist;Medieval;Action;Action RTS;Base Building;Building;3D,8.44,92,21740,652200
Indie,Survival;Zombies;Open World;Multiplayer;Open World Survival Craft;Sandbox;Post-apocalyptic;Co-op;Crafting;Building,19.99,91,332289,9968670
Action,Early Access;Action;RPG;Action RPG;Dark;MMORPG;Dungeon Crawler;Character Customization;Isometric;Horror,29.99,34,152513,4575390
Action,Dwarf;Co-op;PvE;FPS;Procedural Generation;Class-Based;Shooter;Exploration;First-Person;Loot,8.99,94,296542,8896260
Adventure,Survival;Multiplayer;Open World Survival Craft;Co-op;Crafting;Open World;Building;Base Building;Online Co-Op;Adventure,19.99,91,313512,9405360
Simulation,Card Game;Free to Play;Strategy;Trading Card Game;Multiplayer;PvP;Anime;Card Battler;Turn-Based Tactics;Simulation,0,58,0,0
Action,Action;RPG;Action RPG;Hack and Slash;Strategy;Action-Adventure;Dungeon Crawler;Isometric;Dark Fantasy;Dark,39.99,87,3719,111570
Simulation,Grand Strategy;Historical;4X;Military;Strategy;Simulation;Diplomacy;Multiplayer;City Builder;War,59.99,50,40161,1204830
Casual,Automation;Base Building;Resource Management;Sandbox;Crafting;Strategy;Multiplayer;Survival;Management;Open World,35,97,188567,5657010
Action,Medieval;Swordplay;Action;Multiplayer;Fighting;PvP;Third Person;War;Gore;Co-op,29.99,64,104088,3122640
Action,Turn-Based Combat;Story Rich;Fantasy;Great Soundtrack;RPG;Singleplayer;JRPG;Exploration;Lore-Rich;Adventure,49.99,92,168673,5060190
Action,Open World;Western;Story Rich;Singleplayer;Action;Zombies;Action-Adventure;Third-Person Shooter;Atmospheric;Adventure,24.99,93,16454,493620
Action,,0,0,0,0
Simulation,Space;Strategy;Grand Strategy;Sci-fi;4X;Exploration;Sandbox;Simulation;Multiplayer;Real-Time with Pause,39.99,81,138234,4147020
Action,Souls-like;Co-op;Action;Third-Person Shooter;Adventure;RPG;Shooter;Dark;Online Co-Op;Action-Adventure,12.49,73,44281,1328430
Action,Horror;Multiplayer;Co-op;Survival Horror;Psychological Horror;First-Person;PvE;Stealth;Character Customization;Action,39.99,92,79196,2375880
Action,Shooter;Multiplayer;FPS;War;Historical;Military;Action;Wargame;World War I;Tactical,9.99,91,24877,746310
Simulation,City Builder;Simulation;Building;Management;Strategy;Sandbox;Singleplayer;Economy;Moddable;Resource Management,29.99,87,215012,6450360
Action,Souls-like;Online Co-Op;Multiplayer;Roguelike;Co-op;Singleplayer;PvE;Third Person;Action;Roguelite,39.99,80,122006,3660180
Action,Medieval;Strategy;Open World;RPG;War;Sandbox;Multiplayer;Singleplayer;Action;Character Customization,49.99,85,221265,6637950
Action,Early Access;Base Building;Survival;Open World Survival Craft;Automation;Co-op;Open World;Multiplayer;Crafting;Exploration,19.99,80,9405,282150
Action,Action;Adventure;Female Protagonist;Survival Horror;Horror;Supernatural;Action-Adventure;RPG;Third Person;3D,49.99,80,1079,32370
Casual,Multiplayer;Casual;PvP;Online Co-Op;Gambling;Co-op;Indie;Funny;FPS;3D,6.99,81,47225,1416750
Action,Free to Play;Sexual Content;Looter Shooter;Multiplayer;Third-Person Shooter;Online Co-Op;RPG;Action;Shooter;Third Person,0,67,0,0
RPG,Sports;Golf;Simulation;Realistic;Character Customization;Multiplayer;Third Person;Family Friendly;Singleplayer;Co-op,49.99,71,2946,88380
Massively Multiplayer,Free to Play;MMORPG;Multiplayer;Character Customization;Open World;RPG;Story Rich;Choices Matter;Massively Multiplayer;Sci-fi,0,85,454,13620
